mode,size_mb,run,rank,threads,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi+omp,200,8,1,4,17.967866,0.048134,0.142932,0.000001
mpi+omp,200,8,2,4,18.563806,0.084386,0.142932,0.000001
mpi+omp,200,8,3,4,18.619301,0.120652,0.142932,0.000001
mpi+omp,200,9,0,4,18.633422,0.109890,0.144152,0.000001
mpi+omp,200,9,1,4,18.128034,0.046179,0.144152,0.000001
mpi+omp,200,9,2,4,18.627459,0.078116,0.144152,0.000001
mpi+omp,200,9,3,4,18.468946,0.109886,0.144152,0.000001
mpi+omp,200,10,0,4,18.780262,0.111132,0.143376,0.000001
mpi+omp,200,10,1,4,18.189042,0.046995,0.143376,0.000001
mpi+omp,200,10,2,4,18.805298,0.078887,0.143376,0.000001
mpi+omp,200,10,3,4,18.661225,0.111123,0.143376,0.000001
mpi+omp,500,1,0,4,48.579292,0.265646,0.317424,0.000001
mpi+omp,500,1,1,4,47.930130,0.111907,0.317424,0.000001
mpi+omp,500,1,2,4,47.548835,0.188870,0.317424,0.000001
mpi+omp,500,1,3,4,48.450763,0.265635,0.317424,0.000001
mpi+omp,500,2,0,4,48.273134,0.269043,0.316950,0.000002
mpi+omp,500,2,1,4,47.570009,0.112838,0.316945,0.000001
mpi+omp,500,2,2,4,47.163154,0.190897,0.316945,0.000001
mpi+omp,500,2,3,4,48.193590,0.269040,0.316947,0.000002
mpi+omp,500,3,0,4,49.023983,0.268279,0.353680,0.000001
mpi+omp,500,3,1,4,48.336788,0.112079,0.353676,0.000001
mpi+omp,500,3,2,4,47.894928,0.190486,0.353680,0.000001
mpi+omp,500,3,3,4,48.648240,0.268274,0.353675,0.000001
mpi+omp,500,4,0,4,48.570213,0.267406,0.309515,0.000001
mpi+omp,500,4,1,4,47.936536,0.111607,0.309515,0.000001
mpi+omp,500,4,2,4,47.493436,0.189321,0.309515,0.000001
mpi+omp,500,4,3,4,48.337268,0.267404,0.309515,0.000001
mpi+omp,500,5,0,4,48.306145,0.267160,0.321862,0.000001
mpi+omp,500,5,1,4,47.743098,0.111276,0.321856,0.000001
mpi+omp,500,5,2,4,46.992291,0.189285,0.321862,0.000001
mpi+omp,500,5,3,4,48.063010,0.267149,0.321859,0.000001
mpi+omp,500,6,0,4,48.263236,0.266498,0.309823,0.000001
mpi+omp,500,6,1,4,47.723866,0.110075,0.309823,0.000001
mpi+omp,500,6,2,4,47.336421,0.188416,0.309823,0.000001
mpi+omp,500,6,3,4,48.038016,0.266494,0.309823,0.000001
mpi+omp,500,7,0,4,48.329375,0.268469,0.317217,0.000001
mpi+omp,500,7,1,4,47.686459,0.110920,0.317217,0.000001
mpi+omp,500,7,2,4,47.422336,0.190205,0.317217,0.000001
mpi+omp,500,7,3,4,48.071469,0.268464,0.317217,0.000001
mpi+omp,500,8,0,4,48.273241,0.266633,0.309057,0.000001
mpi+omp,500,8,1,4,47.673967,0.110761,0.309057,0.000001
mpi+omp,500,8,2,4,47.242920,0.188564,0.309057,0.000001
mpi+omp,500,8,3,4,48.055492,0.266620,0.309057,0.000001
mpi+omp,500,9,0,4,48.561055,0.268236,0.316142,0.000001
mpi+omp,500,9,1,4,47.844708,0.112218,0.316139,0.000001
mpi+omp,500,9,2,4,47.726284,0.190270,0.316142,0.000001
mpi+omp,500,9,3,4,48.432248,0.268234,0.316137,0.000001
mpi+omp,500,10,0,4,48.304073,0.271216,0.321707,0.000001
mpi+omp,500,10,1,4,47.697031,0.114589,0.321707,0.000001
mpi+omp,500,10,2,4,47.132321,0.192723,0.321707,0.000001
mpi+omp,500,10,3,4,48.184501,0.271211,0.321707,0.000001
