mode,size_mb,streams,run,time_io_s,time_alloc_host_dev_s,time_h2d_s,time_kernel_gpu_s,time_lcp_cpu_s,time_d2h_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
cuda_ms,100,2,2,0.079057,0.116277,0.015687,5.838760,4.829130,39.391521,10.667890,10.784167,39.407208,9.373925,3.298916,329.891625,366.495488
cuda_ms,100,2,3,0.078298,0.116667,0.015681,5.836459,4.868110,39.382462,10.704570,10.821237,39.398142,9.341805,3.287612,328.761237,365.159829
cuda_ms,100,2,4,0.078650,0.120386,0.015694,5.840352,4.812085,39.380909,10.652437,10.772822,39.396603,9.387523,3.303702,330.370194,366.821131
cuda_ms,100,2,5,0.079424,0.119760,0.015690,5.839073,4.932499,39.387613,10.771572,10.891333,39.403303,9.283696,3.267162,326.716247,362.885470
cuda_ms,100,2,6,0.081061,0.115811,0.015691,5.841347,4.757054,39.382705,10.598400,10.714212,39.398396,9.435386,3.320546,332.054606,368.801820
cuda_ms,100,2,7,0.078639,0.116343,0.015719,5.837077,4.793263,39.382763,10.630340,10.746683,39.398483,9.407037,3.310569,331.056911,367.693229
cuda_ms,100,2,8,0.078342,0.116618,0.015686,5.840777,5.072757,39.384470,10.913534,11.030152,39.400157,9.162935,3.224664,322.466354,358.261378
cuda_ms,100,2,9,0.081565,0.116101,0.015685,5.850229,4.917379,39.390356,10.767608,10.883708,39.406042,9.287114,3.268365,326.836542,363.131215
cuda_ms,100,2,10,0.079691,0.117011,0.015688,5.846763,4.873417,39.381331,10.720180,10.837191,39.397019,9.328201,3.282825,328.282503,364.615055
cuda_ms,100,4,1,0.080363,0.117431,0.015695,7.677347,4.761298,39.735206,12.438645,12.556076,39.750901,8.039461,2.829285,282.928527,317.522215
cuda_ms,100,4,2,0.077006,0.120871,0.015684,7.753386,4.785868,39.733748,12.539254,12.660124,39.749432,7.974956,2.806585,280.658460,314.928212
cuda_ms,100,4,3,0.082042,0.117658,0.015685,7.679862,4.877202,39.726666,12.557064,12.674722,39.742352,7.963645,2.802604,280.260382,314.484290
cuda_ms,100,4,4,0.080293,0.116530,0.015680,7.662767,4.771397,39.746345,12.434164,12.550694,39.762026,8.042358,2.830305,283.030488,317.739838
cuda_ms,100,4,5,0.079207,0.115697,0.015680,7.757329,4.938077,39.728831,12.695407,12.811103,39.744512,7.876865,2.772064,277.206373,311.137983
cuda_ms,100,4,6,0.080628,0.116041,0.015727,7.763714,5.024839,39.729058,12.788552,12.904593,39.744785,7.819493,2.751873,275.187330,308.888665
cuda_ms,100,4,7,0.081566,0.116917,0.015695,7.681505,4.803426,39.726563,12.484932,12.601848,39.742259,8.009655,2.818796,281.879600,316.296259
cuda_ms,100,4,8,0.081221,0.115112,0.015691,7.668863,4.763753,39.726847,12.432615,12.547727,39.742538,8.043360,2.830657,283.065749,317.648359
cuda_ms,100,4,9,0.076879,0.114771,0.015695,7.765162,4.957846,39.738156,12.723007,12.837779,39.753850,7.859777,2.766050,276.605012,310.557013
cuda_ms,100,4,10,0.077980,0.120123,0.015679,7.675052,4.853418,39.727685,12.528470,12.648593,39.743364,7.981821,2.809000,280.900030,315.161438
cuda_ms,100,8,1,0.080597,0.117893,0.015684,9.753183,4.802343,39.379631,14.555526,14.673418,39.395316,6.870243,2.417809,241.780863,269.284274
cuda_ms,100,8,2,0.075157,0.115259,0.015695,9.749604,4.792401,39.386811,14.542006,14.657265,39.402506,6.876631,2.420057,242.005656,269.612142
cuda_ms,100,8,3,0.080315,0.117228,0.015695,9.536443,4.756313,39.380032,14.292757,14.409984,39.395727,6.996551,2.462259,246.225949,274.205394
cuda_ms,100,8,4,0.077740,0.118930,0.015687,9.534721,4.760815,39.382454,14.295536,14.414466,39.398140,6.995191,2.461781,246.178078,274.148689
cuda_ms,100,8,5,0.077225,0.115150,0.015685,9.532643,4.763943,39.380795,14.296585,14.411736,39.396480,6.994677,2.461600,246.160012,274.162888
cuda_ms,100,8,6,0.077336,0.117297,0.015682,9.531325,4.751657,39.380046,14.282982,14.400279,39.395728,7.001339,2.463945,246.394456,274.390689
cuda_ms,100,8,7,0.074972,0.117122,0.015715,9.532960,4.752675,39.382102,14.285635,14.402757,39.397817,7.000039,2.463487,246.348699,274.356766
